id,zip_code,country,state,city,created_at,updated_at
392,517134,India,Andhra Pradesh,Chittoor,,
393,515763,India,Andhra Pradesh,Anantapur,,
394,505480,India,Andhra Pradesh,Karimnagar,,
395,507204,India,Andhra Pradesh,Khammam,,
396,508126,India,Andhra Pradesh,Nalgonda,,
397,505472,India,Andhra Pradesh,Karimnagar,,
398,501502,India,Andhra Pradesh,Ranga Reddy,,
399,509345,India,Andhra Pradesh,Mahboobnagar,,
400,531160,India,Andhra Pradesh,Vishakhapatnam,,
401,534207,India,Andhra Pradesh,West Godavari,,
402,515427,India,Andhra Pradesh,Anantapur,,
403,531260,India,Andhra Pradesh,Vizianagaram,,
404,508105,India,Andhra Pradesh,Nalgonda,,
405,532408,India,Andhra Pradesh,Srikakulam,,
406,517146,India,Andhra Pradesh,Chittoor,,
407,505524,India,Andhra Pradesh,Karimnagar,,
408,517108,India,Andhra Pradesh,Chittoor,,
409,523155,India,Andhra Pradesh,Prakasam,,
410,523110,India,Andhra Pradesh,Prakasam,,
411,500361,India,Andhra Pradesh,Hyderabad,,
412,500011,India,Andhra Pradesh,Hyderabad,,
413,524346,India,Andhra Pradesh,Nellore,,
414,521370,India,Andhra Pradesh,Krishna,,
415,522214,India,Andhra Pradesh,Guntur,,
416,518432,India,Andhra Pradesh,Kurnool,,
417,532220,India,Andhra Pradesh,Srikakulam,,
418,522002,India,Andhra Pradesh,Guntur,,
419,524001,India,Andhra Pradesh,Nellore,,
420,501202,India,Andhra Pradesh,Ranga Reddy,,
421,517111,India,Andhra Pradesh,Chittoor,,
422,506221,India,Andhra Pradesh,Warangal,,
423,524305,India,Andhra Pradesh,Nellore,,
424,520002,India,Andhra Pradesh,Krishna,,
425,522013,India,Andhra Pradesh,Guntur,,
426,509213,India,Andhra Pradesh,Mahboobnagar,,
427,515241,India,Andhra Pradesh,Anantapur,,
428,532427,India,Andhra Pradesh,Srikakulam,,
429,504106,India,Andhra Pradesh,Adilabad,,
430,524003,India,Andhra Pradesh,Nellore,,
431,515144,India,Andhra Pradesh,Anantapur,,
432,515144,India,Andhra Pradesh,Anantapur,,
433,504106,India,Andhra Pradesh,Adilabad,,
434,517351,India,Andhra Pradesh,Chittoor,,
435,532417,India,Andhra Pradesh,Srikakulam,,
436,507114,India,Andhra Pradesh,Khammam,,
437,507001,India,Andhra Pradesh,Khammam,,
438,532445,India,Andhra Pradesh,Srikakulam,,
439,532551,India,Andhra Pradesh,Srikakulam,,
440,522601,India,Andhra Pradesh,Guntur,,
441,522201,India,Andhra Pradesh,Guntur,,
442,502110,India,Andhra Pradesh,Medak,,
443,524305,India,Andhra Pradesh,Nellore,,
444,532312,India,Andhra Pradesh,Srikakulam,,
445,503111,India,Andhra Pradesh,Nizamabad,,
446,522010,India,Andhra Pradesh,Guntur,,
447,532502,India,Andhra Pradesh,Vizianagaram,,
448,500003,India,Andhra Pradesh,Hyderabad,,
449,530006,India,Andhra Pradesh,Vishakhapatnam,,
450,505102,India,Andhra Pradesh,Karimnagar,,
451,521001,India,Andhra Pradesh,Krishna,,
452,534448,India,Andhra Pradesh,Warangal,,
453,508001,India,Andhra Pradesh,Nalgonda,,
454,501158,India,Andhra Pradesh,Ranga Reddy,,
455,517001,India,Andhra Pradesh,Chittoor,,
456,517001,India,Andhra Pradesh,Chittoor,,
457,517001,India,Andhra Pradesh,Chittoor,,
458,517002,India,Andhra Pradesh,Chittoor,,
459,532406,India,Andhra Pradesh,Srikakulam,,
460,503180,India,Andhra Pradesh,Nizamabad,,
461,507154,India,Andhra Pradesh,Khammam,,
462,508202,India,Andhra Pradesh,Nalgonda,,
463,506381,India,Andhra Pradesh,Warangal,,
464,532406,India,Andhra Pradesh,Srikakulam,,
465,516001,India,Andhra Pradesh,Cuddapah,,
466,516001,India,Andhra Pradesh,Cuddapah,,
467,516001,India,Andhra Pradesh,Cuddapah,,
468,516001,India,Andhra Pradesh,Cuddapah,,
469,516001,India,Andhra Pradesh,Cuddapah,,
470,516001,India,Andhra Pradesh,Cuddapah,,
471,516001,India,Andhra Pradesh,Cuddapah,,
472,516001,India,Andhra Pradesh,Cuddapah,,
473,518206,India,Andhra Pradesh,Kurnool,,
474,504209,India,Andhra Pradesh,Adilabad,,
475,500013,India,Andhra Pradesh,Hyderabad,,
476,500022,India,Andhra Pradesh,Hyderabad,,
477,500768,India,Andhra Pradesh,Hyderabad,,
478,500134,India,Andhra Pradesh,Ranga Reddy,,
479,534196,India,Andhra Pradesh,West Godavari,,
480,515813,India,Andhra Pradesh,Anantapur,,
481,508111,India,Andhra Pradesh,Nalgonda,,
482,506301,India,Andhra Pradesh,Warangal,,
483,518553,India,Andhra Pradesh,Kurnool,,
484,534342,India,Andhra Pradesh,West Godavari,,
485,500171,India,Andhra Pradesh,Hyderabad,,
486,500036,India,Andhra Pradesh,Hyderabad,,
487,524221,India,Andhra Pradesh,Nellore,,
488,516260,India,Andhra Pradesh,Cuddapah,,
489,508350,India,Andhra Pradesh,Nalgonda,,
490,533503,India,Andhra Pradesh,East Godavari,,
491,521126,India,Andhra Pradesh,Krishna,,
492,532581,India,Andhra Pradesh,Vizianagaram,,
493,515419,India,Andhra Pradesh,Anantapur,,
494,505505,India,Andhra Pradesh,Karimnagar,,
495,500024,India,Andhra Pradesh,Hyderabad,,
496,508259,India,Andhra Pradesh,Nalgonda,,
497,515458,India,Andhra Pradesh,Anantapur,,
498,509115,India,Andhra Pradesh,Mahboobnagar,,
499,521182,India,Andhra Pradesh,Krishna,,
500,522311,India,Andhra Pradesh,Guntur,,
501,522007,India,Andhra Pradesh,Guntur,,
502,517101,India,Andhra Pradesh,Chittoor,,
503,517101,India,Andhra Pradesh,Chittoor,,
504,520010,India,Andhra Pradesh,Krishna,,
505,507135,India,Andhra Pradesh,Khammam,,
506,500264,India,Andhra Pradesh,Hyderabad,,
